2026-06-10T08:08:39.238Z 238 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.240Z 240 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://localhost:8983/solr/select' with status code '200'
2026-06-10T08:08:39.249Z 249 INFO     [71891:MainThread:views.py:81] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/select' for user 'anonymous'
2026-06-10T08:08:39.252Z 252 INFO     [71891:MainThread:views.py:98] Received response from from endpoint 'http://localhost:8983/solr/select' with status code '200'
2026-06-10T08:08:39.259Z 259 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.259Z 259 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.260Z 260 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.260Z 260 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.261Z 261 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
2026-06-10T08:08:39.261Z 261 INFO     [71891:MainThread:views.py:514] Received response from endpoint 'http://localhost:8983/solr/bigquery' with status code '200'
2026-06-10T08:08:39.263Z 263 INFO     [71891:MainThread:views.py:506] Dispatching 'POST' request to endpoint 'http://localhost:8983/solr/bigquery' for user 'anonymous'
